last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
Cabrera, Miguel,408234,2021,526,,
Rivera, Rene,425784,2021,78,1.97,
Wainwright, Adam,425794,2021,74,,
Molina, Yadier,425877,2021,473,1.9,
Suzuki, Kurt,435559,2021,247,1.98,
Cruz Jr., Nelson,443558,2021,584,,
Peralta, David,444482,2021,538,,
Pina, Manny,444489,2021,208,1.94,
Escobar, Alcides,444876,2021,349,,
Longoria, Evan,446334,2021,291,,
Morton, Charlie,450203,2021,62,,
Lester, Jon,452657,2021,51,,
Cabrera, Asdrubal,452678,2021,352,,
Scherzer, Max,453286,2021,63,,
Blackmon, Charlie,453568,2021,582,,
Maldonado, Martin,455117,2021,426,1.96,
Chirinos, Robinson,455139,2021,112,2,
Cain, Lorenzo,456715,2021,286,,
Solano, Donovan,456781,2021,344,,
McCutchen, Andrew,457705,2021,574,,
Upton, Justin,457708,2021,362,,
Turner, Justin,457759,2021,612,,
Posey III, Buster,457763,2021,454,2,
Votto, Joey,458015,2021,533,,
Gardner, Brett,458731,2021,461,,
Joyce, Matt,459964,2021,69,,
Romine, Andrew,461865,2021,64,,
Andrus, Elvis,462101,2021,541,,
Sandoval, Pablo,467055,2021,86,,
Ramos, Wilson,467092,2021,163,2,
Santana, Carlos,467793,2021,659,,
Parra, Gerardo,467827,2021,107,,
Mercer, Jordy,474568,2021,127,,
Belt, Brandon,474832,2021,381,,
Zimmerman, Ryan,475582,2021,273,,
Lowrie, Jed,476704,2021,512,,
Avila, Alex,488671,2021,111,1.99,
Brantley Jr., Michael,488726,2021,508,,
Castro, Jason,488771,2021,179,1.97,
Miley, Wade,489119,2021,59,,
Gurriel, Yuli,493329,2021,605,,
Rojas, Miguel,500743,2021,539,,
Escobar, Eduardo,500871,2021,599,,
Adrianza, Ehire,501303,2021,209,,
Lagares, Juan,501571,2021,327,,
Almonte, Abraham,501659,2021,175,,
Davis, Khris,501981,2021,114,,
Pham, Tommy,502054,2021,561,,
Martinez, J.D.,502110,2021,634,,
Reddick, Josh,502210,2021,158,,
Freeman, Mike,502273,2021,65,,
Dyson, Jarrod,502481,2021,149,,
Goldschmidt, Paul,502671,2021,679,,
